centroide,zone,image,label,nom_images_torchvision,segment,pred_no_euroSAT,pred_euroSAT
POINT (37.14790030908295 36.16143367034777),"POLYGON ((37.14715952769929 36.16069289266107, 37.1486410904666 36.16069289266107, 37.1486410904666 36.16217444803447, 37.14715952769929 36.16217444803447, 37.14715952769929 36.16069289266107))",alep_37.14790030908295_36.16143367034777.jpg,1,alep_0039.jpg,train,1,1
POINT (37.14938187185026 36.16143367034777),"POLYGON ((37.1486410904666 36.16069289266107, 37.15012265323391 36.16069289266107, 37.15012265323391 36.16217444803447, 37.1486410904666 36.16217444803447, 37.1486410904666 36.16069289266107))",alep_37.14938187185026_36.16143367034777.jpg,0,alep_0040.jpg,test,0,0
POINT (37.15086343461757 36.16143367034777),"POLYGON ((37.15012265323391 36.16069289266107, 37.15160421600122 36.16069289266107, 37.15160421600122 36.16217444803447, 37.15012265323391 36.16217444803447, 37.15012265323391 36.16069289266107))",alep_37.15086343461757_36.16143367034777.jpg,1,alep_0041.jpg,train,1,1
POINT (37.15234499738488 36.16143367034777),"POLYGON ((37.15160421600122 36.16069289266107, 37.15308577876853 36.16069289266107, 37.15308577876853 36.16217444803447, 37.15160421600122 36.16217444803447, 37.15160421600122 36.16069289266107))",alep_37.15234499738488_36.16143367034777.jpg,1,alep_0042.jpg,test,1,1
POINT (37.15382656015219 36.16143367034777),"POLYGON ((37.15308577876853 36.16069289266107, 37.15456734153585 36.16069289266107, 37.15456734153585 36.16217444803447, 37.15308577876853 36.16217444803447, 37.15308577876853 36.16069289266107))",alep_37.15382656015219_36.16143367034777.jpg,1,alep_0043.jpg,train,1,1
POINT (37.1553081229195 36.16143367034777),"POLYGON ((37.15456734153585 36.16069289266107, 37.15604890430316 36.16069289266107, 37.15604890430316 36.16217444803447, 37.15456734153585 36.16217444803447, 37.15456734153585 36.16069289266107))",alep_37.1553081229195_36.16143367034777.jpg,1,alep_0044.jpg,test,1,1
POINT (37.15678968568681 36.16143367034777),"POLYGON ((37.15604890430316 36.16069289266107, 37.15753046707047 36.16069289266107, 37.15753046707047 36.16217444803447, 37.15604890430316 36.16217444803447, 37.15604890430316 36.16069289266107))",alep_37.15678968568681_36.16143367034777.jpg,1,alep_0045.jpg,train,1,1
POINT (37.15827124845412 36.16143367034777),"POLYGON ((37.15753046707047 36.16069289266107, 37.15901202983778 36.16069289266107, 37.15901202983778 36.16217444803447, 37.15753046707047 36.16217444803447, 37.15753046707047 36.16069289266107))",alep_37.15827124845412_36.16143367034777.jpg,1,alep_0046.jpg,train,1,1
POINT (37.15975281122143 36.16143367034777),"POLYGON ((37.15901202983778 36.16069289266107, 37.16049359260509 36.16069289266107, 37.16049359260509 36.16217444803447, 37.15901202983778 36.16217444803447, 37.15901202983778 36.16069289266107))",alep_37.15975281122143_36.16143367034777.jpg,1,alep_0047.jpg,train,1,1
POINT (37.16123437398874 36.16143367034777),"POLYGON ((37.16049359260509 36.16069289266107, 37.1619751553724 36.16069289266107, 37.1619751553724 36.16217444803447, 37.16049359260509 36.16217444803447, 37.16049359260509 36.16069289266107))",alep_37.16123437398874_36.16143367034777.jpg,1,alep_0048.jpg,train,1,1
POINT (37.16271593675605 36.16143367034777),"POLYGON ((37.1619751553724 36.16069289266107, 37.16345671813971 36.16069289266107, 37.16345671813971 36.16217444803447, 37.1619751553724 36.16217444803447, 37.1619751553724 36.16069289266107))",alep_37.16271593675605_36.16143367034777.jpg,1,alep_0049.jpg,test,1,1
POINT (37.16419749952336 36.16143367034777),"POLYGON ((37.16345671813971 36.16069289266107, 37.16493828090702 36.16069289266107, 37.16493828090702 36.16217444803447, 37.16345671813971 36.16217444803447, 37.16345671813971 36.16069289266107))",alep_37.16419749952336_36.16143367034777.jpg,1,alep_0050.jpg,train,1,0
POINT (37.16567906229067 36.16143367034777),"POLYGON ((37.16493828090702 36.16069289266107, 37.16641984367433 36.16069289266107, 37.16641984367433 36.16217444803447, 37.16493828090702 36.16217444803447, 37.16493828090702 36.16069289266107))",alep_37.16567906229067_36.16143367034777.jpg,0,alep_0051.jpg,train,0,0
POINT (37.16716062505798 36.16143367034777),"POLYGON ((37.16641984367433 36.16069289266107, 37.16790140644164 36.16069289266107, 37.16790140644164 36.16217444803447, 37.16641984367433 36.16217444803447, 37.16641984367433 36.16069289266107))",alep_37.16716062505798_36.16143367034777.jpg,0,alep_0052.jpg,train,0,0
POINT (37.16864218782529 36.16143367034777),"POLYGON ((37.16790140644164 36.16069289266107, 37.16938296920895 36.16069289266107, 37.16938296920895 36.16217444803447, 37.16790140644164 36.16217444803447, 37.16790140644164 36.16069289266107))",alep_37.16864218782529_36.16143367034777.jpg,0,alep_0053.jpg,train,0,0
POINT (37.1701237505926 36.16143367034777),"POLYGON ((37.16938296920895 36.16069289266107, 37.17086453197626 36.16069289266107, 37.17086453197626 36.16217444803447, 37.16938296920895 36.16217444803447, 37.16938296920895 36.16069289266107))",alep_37.1701237505926_36.16143367034777.jpg,0,alep_0054.jpg,train,0,0
POINT (37.17160531335991 36.16143367034777),"POLYGON ((37.17086453197626 36.16069289266107, 37.17234609474357 36.16069289266107, 37.17234609474357 36.16217444803447, 37.17086453197626 36.16217444803447, 37.17086453197626 36.16069289266107))",alep_37.17160531335991_36.16143367034777.jpg,0,alep_0055.jpg,train,0,0
POINT (37.17308687612722 36.16143367034777),"POLYGON ((37.17234609474357 36.16069289266107, 37.17382765751088 36.16069289266107, 37.17382765751088 36.16217444803447, 37.17234609474357 36.16217444803447, 37.17234609474357 36.16069289266107))",alep_37.17308687612722_36.16143367034777.jpg,0,alep_0056.jpg,test,0,0
POINT (37.17456843889453 36.16143367034777),"POLYGON ((37.17382765751088 36.16069289266107, 37.17530922027819 36.16069289266107, 37.17530922027819 36.16217444803447, 37.17382765751088 36.16217444803447, 37.17382765751088 36.16069289266107))",alep_37.17456843889453_36.16143367034777.jpg,0,alep_0057.jpg,test,0,0
POINT (37.17605000166184 36.16143367034777),"POLYGON ((37.17530922027819 36.16069289266107, 37.1767907830455 36.16069289266107, 37.1767907830455 36.16217444803447, 37.17530922027819 36.16217444803447, 37.17530922027819 36.16069289266107))",alep_37.17605000166184_36.16143367034777.jpg,0,alep_0058.jpg,test,0,0
POINT (37.17753156442915 36.16143367034777),"POLYGON ((37.1767907830455 36.16069289266107, 37.17827234581281 36.16069289266107, 37.17827234581281 36.16217444803447, 37.1767907830455 36.16217444803447, 37.1767907830455 36.16069289266107))",alep_37.17753156442915_36.16143367034777.jpg,1,alep_0059.jpg,train,0,0
POINT (37.17901312719646 36.16143367034777),"POLYGON ((37.17827234581281 36.16069289266107, 37.17975390858012 36.16069289266107, 37.17975390858012 36.16217444803447, 37.17827234581281 36.16217444803447, 37.17827234581281 36.16069289266107))",alep_37.17901312719646_36.16143367034777.jpg,1,alep_0060.jpg,train,0,0
POINT (37.18049468996377 36.16143367034777),"POLYGON ((37.17975390858012 36.16069289266107, 37.18123547134743 36.16069289266107, 37.18123547134743 36.16217444803447, 37.17975390858012 36.16217444803447, 37.17975390858012 36.16069289266107))",alep_37.18049468996377_36.16143367034777.jpg,1,alep_0061.jpg,test,0,0
POINT (37.18197625273108 36.16143367034777),"POLYGON ((37.18123547134743 36.16069289266107, 37.18271703411474 36.16069289266107, 37.18271703411474 36.16217444803447, 37.18123547134743 36.16217444803447, 37.18123547134743 36.16069289266107))",alep_37.18197625273108_36.16143367034777.jpg,1,alep_0062.jpg,train,0,0
POINT (37.18345781549839 36.16143367034777),"POLYGON ((37.18271703411474 36.16069289266107, 37.18419859688205 36.16069289266107, 37.18419859688205 36.16217444803447, 37.18271703411474 36.16217444803447, 37.18271703411474 36.16069289266107))",alep_37.18345781549839_36.16143367034777.jpg,0,alep_0063.jpg,train,0,1
POINT (37.1849393782657 36.16143367034777),"POLYGON ((37.18419859688205 36.16069289266107, 37.18568015964936 36.16069289266107, 37.18568015964936 36.16217444803447, 37.18419859688205 36.16217444803447, 37.18419859688205 36.16069289266107))",alep_37.1849393782657_36.16143367034777.jpg,0,alep_0064.jpg,test,0,0
POINT (37.18642094103301 36.16143367034777),"POLYGON ((37.18568015964936 36.16069289266107, 37.18716172241667 36.16069289266107, 37.18716172241667 36.16217444803447, 37.18568015964936 36.16217444803447, 37.18568015964936 36.16069289266107))",alep_37.18642094103301_36.16143367034777.jpg,0,alep_0065.jpg,train,0,0
POINT (37.18790250380032 36.16143367034777),"POLYGON ((37.18716172241667 36.16069289266107, 37.18864328518398 36.16069289266107, 37.18864328518398 36.16217444803447, 37.18716172241667 36.16217444803447, 37.18716172241667 36.16069289266107))",alep_37.18790250380032_36.16143367034777.jpg,0,alep_0066.jpg,test,0,0
POINT (37.18938406656763 36.16143367034777),"POLYGON ((37.18864328518398 36.16069289266107, 37.19012484795129 36.16069289266107, 37.19012484795129 36.16217444803447, 37.18864328518398 36.16217444803447, 37.18864328518398 36.16069289266107))",alep_37.189384066567634_36.16143367034777.jpg,0,alep_0067.jpg,train,0,0
POINT (37.19086562933494 36.16143367034777),"POLYGON ((37.19012484795129 36.16069289266107, 37.1916064107186 36.16069289266107, 37.1916064107186 36.16217444803447, 37.19012484795129 36.16217444803447, 37.19012484795129 36.16069289266107))",alep_37.190865629334944_36.16143367034777.jpg,1,alep_0068.jpg,test,1,1
POINT (37.19234719210225 36.16143367034777),"POLYGON ((37.1916064107186 36.16069289266107, 37.19308797348591 36.16069289266107, 37.19308797348591 36.16217444803447, 37.1916064107186 36.16217444803447, 37.1916064107186 36.16069289266107))",alep_37.192347192102254_36.16143367034777.jpg,1,alep_0069.jpg,train,0,1
POINT (37.19382875486956 36.16143367034777),"POLYGON ((37.19308797348591 36.16069289266107, 37.19456953625322 36.16069289266107, 37.19456953625322 36.16217444803447, 37.19308797348591 36.16217444803447, 37.19308797348591 36.16069289266107))",alep_37.193828754869564_36.16143367034777.jpg,0,alep_0070.jpg,train,0,0
POINT (37.19531031763687 36.16143367034777),"POLYGON ((37.19456953625322 36.16069289266107, 37.19605109902053 36.16069289266107, 37.19605109902053 36.16217444803447, 37.19456953625322 36.16217444803447, 37.19456953625322 36.16069289266107))",alep_37.195310317636874_36.16143367034777.jpg,0,alep_0071.jpg,test,0,0
POINT (37.19679188040418 36.16143367034777),"POLYGON ((37.19605109902053 36.16069289266107, 37.19753266178784 36.16069289266107, 37.19753266178784 36.16217444803447, 37.19605109902053 36.16217444803447, 37.19605109902053 36.16069289266107))",alep_37.196791880404184_36.16143367034777.jpg,0,alep_0072.jpg,test,0,0
POINT (37.19827344317149 36.16143367034777),"POLYGON ((37.19753266178784 36.16069289266107, 37.19901422455515 36.16069289266107, 37.19901422455515 36.16217444803447, 37.19753266178784 36.16217444803447, 37.19753266178784 36.16069289266107))",alep_37.198273443171495_36.16143367034777.jpg,0,alep_0073.jpg,train,0,0
POINT (37.1997550059388 36.16143367034777),"POLYGON ((37.19901422455515 36.16069289266107, 37.20049578732246 36.16069289266107, 37.20049578732246 36.16217444803447, 37.19901422455515 36.16217444803447, 37.19901422455515 36.16069289266107))",alep_37.199755005938805_36.16143367034777.jpg,0,alep_0074.jpg,train,0,0
POINT (37.20123656870611 36.16143367034777),"POLYGON ((37.20049578732246 36.16069289266107, 37.20197735008977 36.16069289266107, 37.20197735008977 36.16217444803447, 37.20049578732246 36.16217444803447, 37.20049578732246 36.16069289266107))",alep_37.201236568706115_36.16143367034777.jpg,0,alep_0075.jpg,train,0,0
POINT (37.20271813147342 36.16143367034777),"POLYGON ((37.20197735008977 36.16069289266107, 37.20345891285708 36.16069289266107, 37.20345891285708 36.16217444803447, 37.20197735008977 36.16217444803447, 37.20197735008977 36.16069289266107))",alep_37.202718131473425_36.16143367034777.jpg,0,alep_0076.jpg,train,0,0
POINT (37.20419969424074 36.16143367034777),"POLYGON ((37.20345891285708 36.16069289266107, 37.20494047562439 36.16069289266107, 37.20494047562439 36.16217444803447, 37.20345891285708 36.16217444803447, 37.20345891285708 36.16069289266107))",alep_37.204199694240735_36.16143367034777.jpg,0,alep_0077.jpg,test,0,0
POINT (37.20568125700805 36.16143367034777),"POLYGON ((37.20494047562439 36.16069289266107, 37.2064220383917 36.16069289266107, 37.2064220383917 36.16217444803447, 37.20494047562439 36.16217444803447, 37.20494047562439 36.16069289266107))",alep_37.205681257008045_36.16143367034777.jpg,0,alep_0078.jpg,train,0,0
POINT (37.20716281977536 36.16143367034777),"POLYGON ((37.2064220383917 36.16069289266107, 37.20790360115901 36.16069289266107, 37.20790360115901 36.16217444803447, 37.2064220383917 36.16217444803447, 37.2064220383917 36.16069289266107))",alep_37.207162819775355_36.16143367034777.jpg,0,alep_0079.jpg,test,0,0
POINT (37.20864438254267 36.16143367034777),"POLYGON ((37.20790360115901 36.16069289266107, 37.20938516392632 36.16069289266107, 37.20938516392632 36.16217444803447, 37.20790360115901 36.16217444803447, 37.20790360115901 36.16069289266107))",alep_37.208644382542666_36.16143367034777.jpg,0,alep_0080.jpg,train,0,0
POINT (37.09011936115785 36.16291522572116),"POLYGON ((37.0893785797742 36.16217444803446, 37.09086014254151 36.16217444803446, 37.09086014254151 36.16365600340787, 37.0893785797742 36.16365600340787, 37.0893785797742 36.16217444803446))",alep_37.09011936115785_36.162915225721164.jpg,0,alep_0081.jpg,train,0,0
POINT (37.09160092392516 36.16291522572116),"POLYGON ((37.09086014254151 36.16217444803446, 37.09234170530882 36.16217444803446, 37.09234170530882 36.16365600340787, 37.09086014254151 36.16365600340787, 37.09086014254151 36.16217444803446))",alep_37.091600923925164_36.162915225721164.jpg,0,alep_0082.jpg,train,0,0
POINT (37.09308248669247 36.16291522572116),"POLYGON ((37.09234170530882 36.16217444803446, 37.09382326807613 36.16217444803446, 37.09382326807613 36.16365600340787, 37.09234170530882 36.16365600340787, 37.09234170530882 36.16217444803446))",alep_37.093082486692474_36.162915225721164.jpg,0,alep_0083.jpg,test,0,0
POINT (37.09456404945978 36.16291522572116),"POLYGON ((37.09382326807613 36.16217444803446, 37.09530483084344 36.16217444803446, 37.09530483084344 36.16365600340787, 37.09382326807613 36.16365600340787, 37.09382326807613 36.16217444803446))",alep_37.094564049459784_36.162915225721164.jpg,1,alep_0084.jpg,train,0,0
POINT (37.09604561222709 36.16291522572116),"POLYGON ((37.09530483084344 36.16217444803446, 37.09678639361075 36.16217444803446, 37.09678639361075 36.16365600340787, 37.09530483084344 36.16365600340787, 37.09530483084344 36.16217444803446))",alep_37.096045612227094_36.162915225721164.jpg,1,alep_0085.jpg,train,0,0
POINT (37.0975271749944 36.16291522572116),"POLYGON ((37.09678639361075 36.16217444803446, 37.09826795637806 36.16217444803446, 37.09826795637806 36.16365600340787, 37.09678639361075 36.16365600340787, 37.09678639361075 36.16217444803446))",alep_37.097527174994404_36.162915225721164.jpg,0,alep_0086.jpg,train,0,0
POINT (37.09900873776171 36.16291522572116),"POLYGON ((37.09826795637806 36.16217444803446, 37.09974951914537 36.16217444803446, 37.09974951914537 36.16365600340787, 37.09826795637806 36.16365600340787, 37.09826795637806 36.16217444803446))",alep_37.099008737761714_36.162915225721164.jpg,0,alep_0087.jpg,train,0,0
POINT (37.10049030052902 36.16291522572116),"POLYGON ((37.09974951914537 36.16217444803446, 37.10123108191268 36.16217444803446, 37.10123108191268 36.16365600340787, 37.09974951914537 36.16365600340787, 37.09974951914537 36.16217444803446))",alep_37.100490300529025_36.162915225721164.jpg,0,alep_0088.jpg,train,0,0
POINT (37.10197186329633 36.16291522572116),"POLYGON ((37.10123108191268 36.16217444803446, 37.10271264467999 36.16217444803446, 37.10271264467999 36.16365600340787, 37.10123108191268 36.16365600340787, 37.10123108191268 36.16217444803446))",alep_37.101971863296335_36.162915225721164.jpg,0,alep_0089.jpg,train,0,0
