centroide,zone,image,label
POINT (40.1449086996188 35.30169646575106),"POLYGON ((40.14410363498882 35.30110358037556, 40.14571376424879 35.30110358037556, 40.14571376424879 35.30228935112655, 40.14410363498882 35.30228935112655, 40.14410363498882 35.30110358037556))",ezzor_40.1449086996188_35.30169646575106.jpg,0
POINT (40.14651882887877 35.30169646575106),"POLYGON ((40.14571376424878 35.30110358037556, 40.14732389350876 35.30110358037556, 40.14732389350876 35.30228935112655, 40.14571376424878 35.30228935112655, 40.14571376424878 35.30110358037556))",ezzor_40.14651882887877_35.30169646575106.jpg,0
POINT (40.14812895813873 35.30169646575106),"POLYGON ((40.14732389350875 35.30110358037556, 40.14893402276872 35.30110358037556, 40.14893402276872 35.30228935112655, 40.14732389350875 35.30228935112655, 40.14732389350875 35.30110358037556))",ezzor_40.148128958138734_35.30169646575106.jpg,0
POINT (40.1497390873987 35.30169646575106),"POLYGON ((40.14893402276871 35.30110358037556, 40.15054415202869 35.30110358037556, 40.15054415202869 35.30228935112655, 40.14893402276871 35.30228935112655, 40.14893402276871 35.30110358037556))",ezzor_40.1497390873987_35.30169646575106.jpg,0
POINT (40.15134921665867 35.30169646575106),"POLYGON ((40.15054415202868 35.30110358037556, 40.15215428128865 35.30110358037556, 40.15215428128865 35.30228935112655, 40.15054415202868 35.30228935112655, 40.15054415202868 35.30110358037556))",ezzor_40.151349216658666_35.30169646575106.jpg,0
POINT (40.15295934591863 35.30169646575106),"POLYGON ((40.15215428128865 35.30110358037556, 40.15376441054862 35.30110358037556, 40.15376441054862 35.30228935112655, 40.15215428128865 35.30228935112655, 40.15215428128865 35.30110358037556))",ezzor_40.15295934591863_35.30169646575106.jpg,0
POINT (40.1545694751786 35.30169646575106),"POLYGON ((40.15376441054861 35.30110358037556, 40.15537453980858 35.30110358037556, 40.15537453980858 35.30228935112655, 40.15376441054861 35.30228935112655, 40.15376441054861 35.30110358037556))",ezzor_40.1545694751786_35.30169646575106.jpg,0
POINT (40.15617960443856 35.30169646575106),"POLYGON ((40.15537453980858 35.30110358037556, 40.15698466906855 35.30110358037556, 40.15698466906855 35.30228935112655, 40.15537453980858 35.30228935112655, 40.15537453980858 35.30110358037556))",ezzor_40.15617960443856_35.30169646575106.jpg,0
POINT (40.15778973369853 35.30169646575106),"POLYGON ((40.15698466906854 35.30110358037556, 40.15859479832852 35.30110358037556, 40.15859479832852 35.30228935112655, 40.15698466906854 35.30228935112655, 40.15698466906854 35.30110358037556))",ezzor_40.15778973369853_35.30169646575106.jpg,0
POINT (40.15939986295849 35.30169646575106),"POLYGON ((40.15859479832851 35.30110358037556, 40.16020492758848 35.30110358037556, 40.16020492758848 35.30228935112655, 40.15859479832851 35.30228935112655, 40.15859479832851 35.30110358037556))",ezzor_40.159399862958495_35.30169646575106.jpg,0
POINT (40.16100999221846 35.30169646575106),"POLYGON ((40.16020492758847 35.30110358037556, 40.16181505684845 35.30110358037556, 40.16181505684845 35.30228935112655, 40.16020492758847 35.30228935112655, 40.16020492758847 35.30110358037556))",ezzor_40.16100999221846_35.30169646575106.jpg,0
POINT (40.16262012147843 35.30169646575106),"POLYGON ((40.16181505684844 35.30110358037556, 40.16342518610841 35.30110358037556, 40.16342518610841 35.30228935112655, 40.16181505684844 35.30228935112655, 40.16181505684844 35.30110358037556))",ezzor_40.162620121478426_35.30169646575106.jpg,0
POINT (40.16423025073839 35.30169646575106),"POLYGON ((40.16342518610841 35.30110358037556, 40.16503531536838 35.30110358037556, 40.16503531536838 35.30228935112655, 40.16342518610841 35.30228935112655, 40.16342518610841 35.30110358037556))",ezzor_40.16423025073839_35.30169646575106.jpg,0
POINT (40.16584037999836 35.30169646575106),"POLYGON ((40.16503531536837 35.30110358037556, 40.16664544462834 35.30110358037556, 40.16664544462834 35.30228935112655, 40.16503531536837 35.30228935112655, 40.16503531536837 35.30110358037556))",ezzor_40.16584037999836_35.30169646575106.jpg,0
POINT (40.16745050925832 35.30169646575106),"POLYGON ((40.16664544462834 35.30110358037556, 40.16825557388831 35.30110358037556, 40.16825557388831 35.30228935112655, 40.16664544462834 35.30228935112655, 40.16664544462834 35.30110358037556))",ezzor_40.16745050925832_35.30169646575106.jpg,0
POINT (40.16906063851829 35.30169646575106),"POLYGON ((40.1682555738883 35.30110358037556, 40.16986570314828 35.30110358037556, 40.16986570314828 35.30228935112655, 40.1682555738883 35.30228935112655, 40.1682555738883 35.30110358037556))",ezzor_40.16906063851829_35.30169646575106.jpg,1
POINT (40.14007831183891 35.30288223650204),"POLYGON ((40.13927324720892 35.30228935112655, 40.14088337646889 35.30228935112655, 40.14088337646889 35.30347512187754, 40.13927324720892 35.30347512187754, 40.13927324720892 35.30228935112655))",ezzor_40.140078311838906_35.30288223650204.jpg,1
POINT (40.14168844109887 35.30288223650204),"POLYGON ((40.14088337646889 35.30228935112655, 40.14249350572886 35.30228935112655, 40.14249350572886 35.30347512187754, 40.14088337646889 35.30347512187754, 40.14088337646889 35.30228935112655))",ezzor_40.14168844109887_35.30288223650204.jpg,0
POINT (40.14329857035884 35.30288223650204),"POLYGON ((40.14249350572885 35.30228935112655, 40.14410363498882 35.30228935112655, 40.14410363498882 35.30347512187754, 40.14249350572885 35.30347512187754, 40.14249350572885 35.30228935112655))",ezzor_40.14329857035884_35.30288223650204.jpg,1
POINT (40.1449086996188 35.30288223650204),"POLYGON ((40.14410363498882 35.30228935112655, 40.14571376424879 35.30228935112655, 40.14571376424879 35.30347512187754, 40.14410363498882 35.30347512187754, 40.14410363498882 35.30228935112655))",ezzor_40.1449086996188_35.30288223650204.jpg,1
POINT (40.14651882887877 35.30288223650204),"POLYGON ((40.14571376424878 35.30228935112655, 40.14732389350876 35.30228935112655, 40.14732389350876 35.30347512187754, 40.14571376424878 35.30347512187754, 40.14571376424878 35.30228935112655))",ezzor_40.14651882887877_35.30288223650204.jpg,1
POINT (40.14812895813873 35.30288223650204),"POLYGON ((40.14732389350875 35.30228935112655, 40.14893402276872 35.30228935112655, 40.14893402276872 35.30347512187754, 40.14732389350875 35.30347512187754, 40.14732389350875 35.30228935112655))",ezzor_40.148128958138734_35.30288223650204.jpg,0
POINT (40.1497390873987 35.30288223650204),"POLYGON ((40.14893402276871 35.30228935112655, 40.15054415202869 35.30228935112655, 40.15054415202869 35.30347512187754, 40.14893402276871 35.30347512187754, 40.14893402276871 35.30228935112655))",ezzor_40.1497390873987_35.30288223650204.jpg,0
POINT (40.15134921665867 35.30288223650204),"POLYGON ((40.15054415202868 35.30228935112655, 40.15215428128865 35.30228935112655, 40.15215428128865 35.30347512187754, 40.15054415202868 35.30347512187754, 40.15054415202868 35.30228935112655))",ezzor_40.151349216658666_35.30288223650204.jpg,0
POINT (40.15295934591863 35.30288223650204),"POLYGON ((40.15215428128865 35.30228935112655, 40.15376441054862 35.30228935112655, 40.15376441054862 35.30347512187754, 40.15215428128865 35.30347512187754, 40.15215428128865 35.30228935112655))",ezzor_40.15295934591863_35.30288223650204.jpg,0
POINT (40.1545694751786 35.30288223650204),"POLYGON ((40.15376441054861 35.30228935112655, 40.15537453980858 35.30228935112655, 40.15537453980858 35.30347512187754, 40.15376441054861 35.30347512187754, 40.15376441054861 35.30228935112655))",ezzor_40.1545694751786_35.30288223650204.jpg,0
POINT (40.15617960443856 35.30288223650204),"POLYGON ((40.15537453980858 35.30228935112655, 40.15698466906855 35.30228935112655, 40.15698466906855 35.30347512187754, 40.15537453980858 35.30347512187754, 40.15537453980858 35.30228935112655))",ezzor_40.15617960443856_35.30288223650204.jpg,0
POINT (40.15778973369853 35.30288223650204),"POLYGON ((40.15698466906854 35.30228935112655, 40.15859479832852 35.30228935112655, 40.15859479832852 35.30347512187754, 40.15698466906854 35.30347512187754, 40.15698466906854 35.30228935112655))",ezzor_40.15778973369853_35.30288223650204.jpg,0
POINT (40.15939986295849 35.30288223650204),"POLYGON ((40.15859479832851 35.30228935112655, 40.16020492758848 35.30228935112655, 40.16020492758848 35.30347512187754, 40.15859479832851 35.30347512187754, 40.15859479832851 35.30228935112655))",ezzor_40.159399862958495_35.30288223650204.jpg,0
POINT (40.16100999221846 35.30288223650204),"POLYGON ((40.16020492758847 35.30228935112655, 40.16181505684845 35.30228935112655, 40.16181505684845 35.30347512187754, 40.16020492758847 35.30347512187754, 40.16020492758847 35.30228935112655))",ezzor_40.16100999221846_35.30288223650204.jpg,0
POINT (40.16262012147843 35.30288223650204),"POLYGON ((40.16181505684844 35.30228935112655, 40.16342518610841 35.30228935112655, 40.16342518610841 35.30347512187754, 40.16181505684844 35.30347512187754, 40.16181505684844 35.30228935112655))",ezzor_40.162620121478426_35.30288223650204.jpg,0
POINT (40.16423025073839 35.30288223650204),"POLYGON ((40.16342518610841 35.30228935112655, 40.16503531536838 35.30228935112655, 40.16503531536838 35.30347512187754, 40.16342518610841 35.30347512187754, 40.16342518610841 35.30228935112655))",ezzor_40.16423025073839_35.30288223650204.jpg,0
POINT (40.16584037999836 35.30288223650204),"POLYGON ((40.16503531536837 35.30228935112655, 40.16664544462834 35.30228935112655, 40.16664544462834 35.30347512187754, 40.16503531536837 35.30347512187754, 40.16503531536837 35.30228935112655))",ezzor_40.16584037999836_35.30288223650204.jpg,0
POINT (40.16745050925832 35.30288223650204),"POLYGON ((40.16664544462834 35.30228935112655, 40.16825557388831 35.30228935112655, 40.16825557388831 35.30347512187754, 40.16664544462834 35.30347512187754, 40.16664544462834 35.30228935112655))",ezzor_40.16745050925832_35.30288223650204.jpg,0
POINT (40.16906063851829 35.30288223650204),"POLYGON ((40.1682555738883 35.30228935112655, 40.16986570314828 35.30228935112655, 40.16986570314828 35.30347512187754, 40.1682555738883 35.30347512187754, 40.1682555738883 35.30228935112655))",ezzor_40.16906063851829_35.30288223650204.jpg,0
POINT (40.14007831183891 35.30406800725303),"POLYGON ((40.13927324720892 35.30347512187753, 40.14088337646889 35.30347512187753, 40.14088337646889 35.30466089262853, 40.13927324720892 35.30466089262853, 40.13927324720892 35.30347512187753))",ezzor_40.140078311838906_35.30406800725303.jpg,1
POINT (40.14168844109887 35.30406800725303),"POLYGON ((40.14088337646889 35.30347512187753, 40.14249350572886 35.30347512187753, 40.14249350572886 35.30466089262853, 40.14088337646889 35.30466089262853, 40.14088337646889 35.30347512187753))",ezzor_40.14168844109887_35.30406800725303.jpg,1
POINT (40.14329857035884 35.30406800725303),"POLYGON ((40.14249350572885 35.30347512187753, 40.14410363498882 35.30347512187753, 40.14410363498882 35.30466089262853, 40.14249350572885 35.30466089262853, 40.14249350572885 35.30347512187753))",ezzor_40.14329857035884_35.30406800725303.jpg,1
POINT (40.1449086996188 35.30406800725303),"POLYGON ((40.14410363498882 35.30347512187753, 40.14571376424879 35.30347512187753, 40.14571376424879 35.30466089262853, 40.14410363498882 35.30466089262853, 40.14410363498882 35.30347512187753))",ezzor_40.1449086996188_35.30406800725303.jpg,0
POINT (40.14651882887877 35.30406800725303),"POLYGON ((40.14571376424878 35.30347512187753, 40.14732389350876 35.30347512187753, 40.14732389350876 35.30466089262853, 40.14571376424878 35.30466089262853, 40.14571376424878 35.30347512187753))",ezzor_40.14651882887877_35.30406800725303.jpg,1
POINT (40.14812895813873 35.30406800725303),"POLYGON ((40.14732389350875 35.30347512187753, 40.14893402276872 35.30347512187753, 40.14893402276872 35.30466089262853, 40.14732389350875 35.30466089262853, 40.14732389350875 35.30347512187753))",ezzor_40.148128958138734_35.30406800725303.jpg,1
POINT (40.1497390873987 35.30406800725303),"POLYGON ((40.14893402276871 35.30347512187753, 40.15054415202869 35.30347512187753, 40.15054415202869 35.30466089262853, 40.14893402276871 35.30466089262853, 40.14893402276871 35.30347512187753))",ezzor_40.1497390873987_35.30406800725303.jpg,0
POINT (40.15134921665867 35.30406800725303),"POLYGON ((40.15054415202868 35.30347512187753, 40.15215428128865 35.30347512187753, 40.15215428128865 35.30466089262853, 40.15054415202868 35.30466089262853, 40.15054415202868 35.30347512187753))",ezzor_40.151349216658666_35.30406800725303.jpg,0
POINT (40.15295934591863 35.30406800725303),"POLYGON ((40.15215428128865 35.30347512187753, 40.15376441054862 35.30347512187753, 40.15376441054862 35.30466089262853, 40.15215428128865 35.30466089262853, 40.15215428128865 35.30347512187753))",ezzor_40.15295934591863_35.30406800725303.jpg,0
POINT (40.1545694751786 35.30406800725303),"POLYGON ((40.15376441054861 35.30347512187753, 40.15537453980858 35.30347512187753, 40.15537453980858 35.30466089262853, 40.15376441054861 35.30466089262853, 40.15376441054861 35.30347512187753))",ezzor_40.1545694751786_35.30406800725303.jpg,0
POINT (40.15617960443856 35.30406800725303),"POLYGON ((40.15537453980858 35.30347512187753, 40.15698466906855 35.30347512187753, 40.15698466906855 35.30466089262853, 40.15537453980858 35.30466089262853, 40.15537453980858 35.30347512187753))",ezzor_40.15617960443856_35.30406800725303.jpg,0
POINT (40.15778973369853 35.30406800725303),"POLYGON ((40.15698466906854 35.30347512187753, 40.15859479832852 35.30347512187753, 40.15859479832852 35.30466089262853, 40.15698466906854 35.30466089262853, 40.15698466906854 35.30347512187753))",ezzor_40.15778973369853_35.30406800725303.jpg,0
POINT (40.15939986295849 35.30406800725303),"POLYGON ((40.15859479832851 35.30347512187753, 40.16020492758848 35.30347512187753, 40.16020492758848 35.30466089262853, 40.15859479832851 35.30466089262853, 40.15859479832851 35.30347512187753))",ezzor_40.159399862958495_35.30406800725303.jpg,0
POINT (40.16100999221846 35.30406800725303),"POLYGON ((40.16020492758847 35.30347512187753, 40.16181505684845 35.30347512187753, 40.16181505684845 35.30466089262853, 40.16020492758847 35.30466089262853, 40.16020492758847 35.30347512187753))",ezzor_40.16100999221846_35.30406800725303.jpg,0
POINT (40.16262012147843 35.30406800725303),"POLYGON ((40.16181505684844 35.30347512187753, 40.16342518610841 35.30347512187753, 40.16342518610841 35.30466089262853, 40.16181505684844 35.30466089262853, 40.16181505684844 35.30347512187753))",ezzor_40.162620121478426_35.30406800725303.jpg,0
POINT (40.16423025073839 35.30406800725303),"POLYGON ((40.16342518610841 35.30347512187753, 40.16503531536838 35.30347512187753, 40.16503531536838 35.30466089262853, 40.16342518610841 35.30466089262853, 40.16342518610841 35.30347512187753))",ezzor_40.16423025073839_35.30406800725303.jpg,0
POINT (40.16584037999836 35.30406800725303),"POLYGON ((40.16503531536837 35.30347512187753, 40.16664544462834 35.30347512187753, 40.16664544462834 35.30466089262853, 40.16503531536837 35.30466089262853, 40.16503531536837 35.30347512187753))",ezzor_40.16584037999836_35.30406800725303.jpg,0
POINT (40.16745050925832 35.30406800725303),"POLYGON ((40.16664544462834 35.30347512187753, 40.16825557388831 35.30347512187753, 40.16825557388831 35.30466089262853, 40.16664544462834 35.30466089262853, 40.16664544462834 35.30347512187753))",ezzor_40.16745050925832_35.30406800725303.jpg,0
POINT (40.16906063851829 35.30406800725303),"POLYGON ((40.1682555738883 35.30347512187753, 40.16986570314828 35.30347512187753, 40.16986570314828 35.30466089262853, 40.1682555738883 35.30466089262853, 40.1682555738883 35.30347512187753))",ezzor_40.16906063851829_35.30406800725303.jpg,0
POINT (40.14007831183891 35.30525377800402),"POLYGON ((40.13927324720892 35.30466089262852, 40.14088337646889 35.30466089262852, 40.14088337646889 35.30584666337951, 40.13927324720892 35.30584666337951, 40.13927324720892 35.30466089262852))",ezzor_40.140078311838906_35.305253778004015.jpg,0
POINT (40.14168844109887 35.30525377800402),"POLYGON ((40.14088337646889 35.30466089262852, 40.14249350572886 35.30466089262852, 40.14249350572886 35.30584666337951, 40.14088337646889 35.30584666337951, 40.14088337646889 35.30466089262852))",ezzor_40.14168844109887_35.305253778004015.jpg,0
POINT (40.14329857035884 35.30525377800402),"POLYGON ((40.14249350572885 35.30466089262852, 40.14410363498882 35.30466089262852, 40.14410363498882 35.30584666337951, 40.14249350572885 35.30584666337951, 40.14249350572885 35.30466089262852))",ezzor_40.14329857035884_35.305253778004015.jpg,0
POINT (40.1449086996188 35.30525377800402),"POLYGON ((40.14410363498882 35.30466089262852, 40.14571376424879 35.30466089262852, 40.14571376424879 35.30584666337951, 40.14410363498882 35.30584666337951, 40.14410363498882 35.30466089262852))",ezzor_40.1449086996188_35.305253778004015.jpg,0
POINT (40.14651882887877 35.30525377800402),"POLYGON ((40.14571376424878 35.30466089262852, 40.14732389350876 35.30466089262852, 40.14732389350876 35.30584666337951, 40.14571376424878 35.30584666337951, 40.14571376424878 35.30466089262852))",ezzor_40.14651882887877_35.305253778004015.jpg,1
POINT (40.14812895813873 35.30525377800402),"POLYGON ((40.14732389350875 35.30466089262852, 40.14893402276872 35.30466089262852, 40.14893402276872 35.30584666337951, 40.14732389350875 35.30584666337951, 40.14732389350875 35.30466089262852))",ezzor_40.148128958138734_35.305253778004015.jpg,0
POINT (40.1497390873987 35.30525377800402),"POLYGON ((40.14893402276871 35.30466089262852, 40.15054415202869 35.30466089262852, 40.15054415202869 35.30584666337951, 40.14893402276871 35.30584666337951, 40.14893402276871 35.30466089262852))",ezzor_40.1497390873987_35.305253778004015.jpg,0
POINT (40.15134921665867 35.30525377800402),"POLYGON ((40.15054415202868 35.30466089262852, 40.15215428128865 35.30466089262852, 40.15215428128865 35.30584666337951, 40.15054415202868 35.30584666337951, 40.15054415202868 35.30466089262852))",ezzor_40.151349216658666_35.305253778004015.jpg,0
POINT (40.15295934591863 35.30525377800402),"POLYGON ((40.15215428128865 35.30466089262852, 40.15376441054862 35.30466089262852, 40.15376441054862 35.30584666337951, 40.15215428128865 35.30584666337951, 40.15215428128865 35.30466089262852))",ezzor_40.15295934591863_35.305253778004015.jpg,0
POINT (40.1545694751786 35.30525377800402),"POLYGON ((40.15376441054861 35.30466089262852, 40.15537453980858 35.30466089262852, 40.15537453980858 35.30584666337951, 40.15376441054861 35.30584666337951, 40.15376441054861 35.30466089262852))",ezzor_40.1545694751786_35.305253778004015.jpg,0
POINT (40.15617960443856 35.30525377800402),"POLYGON ((40.15537453980858 35.30466089262852, 40.15698466906855 35.30466089262852, 40.15698466906855 35.30584666337951, 40.15537453980858 35.30584666337951, 40.15537453980858 35.30466089262852))",ezzor_40.15617960443856_35.305253778004015.jpg,0
POINT (40.15778973369853 35.30525377800402),"POLYGON ((40.15698466906854 35.30466089262852, 40.15859479832852 35.30466089262852, 40.15859479832852 35.30584666337951, 40.15698466906854 35.30584666337951, 40.15698466906854 35.30466089262852))",ezzor_40.15778973369853_35.305253778004015.jpg,0
POINT (40.15939986295849 35.30525377800402),"POLYGON ((40.15859479832851 35.30466089262852, 40.16020492758848 35.30466089262852, 40.16020492758848 35.30584666337951, 40.15859479832851 35.30584666337951, 40.15859479832851 35.30466089262852))",ezzor_40.159399862958495_35.305253778004015.jpg,0
POINT (40.16100999221846 35.30525377800402),"POLYGON ((40.16020492758847 35.30466089262852, 40.16181505684845 35.30466089262852, 40.16181505684845 35.30584666337951, 40.16020492758847 35.30584666337951, 40.16020492758847 35.30466089262852))",ezzor_40.16100999221846_35.305253778004015.jpg,0
POINT (40.16262012147843 35.30525377800402),"POLYGON ((40.16181505684844 35.30466089262852, 40.16342518610841 35.30466089262852, 40.16342518610841 35.30584666337951, 40.16181505684844 35.30584666337951, 40.16181505684844 35.30466089262852))",ezzor_40.162620121478426_35.305253778004015.jpg,0
POINT (40.16423025073839 35.30525377800402),"POLYGON ((40.16342518610841 35.30466089262852, 40.16503531536838 35.30466089262852, 40.16503531536838 35.30584666337951, 40.16342518610841 35.30584666337951, 40.16342518610841 35.30466089262852))",ezzor_40.16423025073839_35.305253778004015.jpg,1
POINT (40.16584037999836 35.30525377800402),"POLYGON ((40.16503531536837 35.30466089262852, 40.16664544462834 35.30466089262852, 40.16664544462834 35.30584666337951, 40.16503531536837 35.30584666337951, 40.16503531536837 35.30466089262852))",ezzor_40.16584037999836_35.305253778004015.jpg,0
POINT (40.16745050925832 35.30525377800402),"POLYGON ((40.16664544462834 35.30466089262852, 40.16825557388831 35.30466089262852, 40.16825557388831 35.30584666337951, 40.16664544462834 35.30584666337951, 40.16664544462834 35.30466089262852))",ezzor_40.16745050925832_35.305253778004015.jpg,0
POINT (40.16906063851829 35.30525377800402),"POLYGON ((40.1682555738883 35.30466089262852, 40.16986570314828 35.30466089262852, 40.16986570314828 35.30584666337951, 40.1682555738883 35.30584666337951, 40.1682555738883 35.30466089262852))",ezzor_40.16906063851829_35.305253778004015.jpg,0
POINT (40.14007831183891 35.306439548755),"POLYGON ((40.13927324720892 35.3058466633795, 40.14088337646889 35.3058466633795, 40.14088337646889 35.3070324341305, 40.13927324720892 35.3070324341305, 40.13927324720892 35.3058466633795))",ezzor_40.140078311838906_35.306439548755.jpg,0
POINT (40.14168844109887 35.306439548755),"POLYGON ((40.14088337646889 35.3058466633795, 40.14249350572886 35.3058466633795, 40.14249350572886 35.3070324341305, 40.14088337646889 35.3070324341305, 40.14088337646889 35.3058466633795))",ezzor_40.14168844109887_35.306439548755.jpg,0
POINT (40.14329857035884 35.306439548755),"POLYGON ((40.14249350572885 35.3058466633795, 40.14410363498882 35.3058466633795, 40.14410363498882 35.3070324341305, 40.14249350572885 35.3070324341305, 40.14249350572885 35.3058466633795))",ezzor_40.14329857035884_35.306439548755.jpg,1
POINT (40.1449086996188 35.306439548755),"POLYGON ((40.14410363498882 35.3058466633795, 40.14571376424879 35.3058466633795, 40.14571376424879 35.3070324341305, 40.14410363498882 35.3070324341305, 40.14410363498882 35.3058466633795))",ezzor_40.1449086996188_35.306439548755.jpg,1
