label,geometry
0,POINT (37.14032613300009 36.24022116400005)
0,POINT (37.14039111200009 36.24033665400009)
0,POINT (37.14024934200006 36.24047993400006)
0,POINT (37.14046525900005 36.24043797700006)
0,POINT (37.14092634800005 36.24023765000004)
0,POINT (37.13932998000007 36.23889869200008)
0,POINT (37.13939184300006 36.23902129000004)
0,POINT (37.13947447800007 36.23913705500007)
0,POINT (37.13953351200007 36.23925483800008)
0,POINT (37.13815243600004 36.23877065700009)
0,POINT (37.13799390900004 36.23875149400004)
0,POINT (37.13786458700008 36.23874232600008)
0,POINT (37.13751244600007 36.23869391300008)
0,POINT (37.13735675000004 36.23867956300006)
0,POINT (37.13830560900004 36.24000846900009)
0,POINT (37.13815602200009 36.23998467600006)
0,POINT (37.13800038000005 36.23996794300007)
0,POINT (37.13785656700009 36.23994900900004)
0,POINT (37.13781655500009 36.24014634000008)
0,POINT (37.13795759500005 36.24015807600006)
0,POINT (37.13818627700005 36.23858515400008)
0,POINT (37.13802746800008 36.23857791200004)
0,POINT (37.13739048000008 36.23849882900004)
1,POINT (37.14014082700004 36.23872289000008)
1,POINT (37.14069793900006 36.23943989600008)
1,POINT (37.14004473000006 36.23880248500006)
1,POINT (37.14007201300006 36.23889353900006)
1,POINT (37.14012612200008 36.23897070100008)
1,POINT (37.14018894800006 36.23905276700009)
1,POINT (37.14028165600007 36.23911621900004)
1,POINT (37.14033949900005 36.23916004800009)
1,POINT (37.14060488500007 36.23926672900006)
1,POINT (37.14027072000005 36.23883223400009)
1,POINT (37.14031400700009 36.23862064300005)
1,POINT (37.14089942000004 36.23938578800005)
0,POINT (37.14033362300006 36.24065057900009)
0,POINT (37.14041920400007 36.24076639000009)
0,POINT (37.14068351600008 36.24079434900005)
1,POINT (37.14061604600005 36.24065974100006)
1,POINT (37.14122478200005 36.24118674700009)
0,POINT (37.14074268500008 36.24127942300004)
0,POINT (37.14086980300004 36.24125754900007)
0,POINT (37.14104260400006 36.24123877000005)
0,POINT (37.14125458700005 36.24079845600005)
0,POINT (37.14120398300008 36.24069750000007)
1,POINT (37.14145601500007 36.24074673100006)
1,POINT (37.14140863700004 36.24063390000003)
1,POINT (37.14133210900007 36.24050869100006)
0,POINT (37.14097089600006 36.24034566700004)
1,POINT (37.14106033500008 36.24049015700007)
0,POINT (37.14117537900006 36.24028922100007)
0,POINT (37.14111068100004 36.24016181000007)
1,POINT (37.14058456100008 36.23913046900009)
1,POINT (37.14050062500007 36.23906953900007)
1,POINT (37.14073516900004 36.23923536500007)
1,POINT (37.14082448300007 36.23931784300004)
1,POINT (37.14034758300005 36.23894313900007)
0,POINT (37.14048422100007 36.23926485300007)
0,POINT (37.14041777500006 36.23921135000006)
1,POINT (37.14063392600008 36.23940789600005)
0,POINT (37.14068803000004 36.23936103700004)
1,POINT (37.14087275100007 36.23914448900007)
1,POINT (37.14092940900008 36.23923838400009)
0,POINT (37.14097751300005 36.23919620200007)
0,POINT (37.14080041700004 36.23909089400007)
0,POINT (37.14077188500005 36.23892827100008)
0,POINT (37.14081246600006 36.23895513700006)
0,POINT (37.14087976000008 36.23897287800008)
0,POINT (37.14096731600006 36.23900524400005)
0,POINT (37.14062732600007 36.23869229400009)
0,POINT (37.14051905600007 36.23866437600009)
0,POINT (37.14066832700007 36.23919855100007)
0,POINT (37.14080802300003 36.23951554200005)
0,POINT (37.14097210500006 36.23967311700005)
1,POINT (37.14196151600004 36.24028712600006)
1,POINT (37.14204946900009 36.24030280300008)
0,POINT (37.14211569200006 36.24036584200007)
1,POINT (37.14231406300007 36.24031883800006)
1,POINT (37.14210712800008 36.24010574400006)
1,POINT (37.14215037100007 36.24014457600003)
1,POINT (37.14221155500007 36.24017176100006)
1,POINT (37.14230228200006 36.24019463500008)
1,POINT (37.14241111800004 36.24019871100006)
1,POINT (37.14244683900006 36.24030659000005)
1,POINT (37.14258719400004 36.24022291000006)
1,POINT (37.14203479400004 36.24005215000005)
1,POINT (37.14192800500007 36.24021028600004)
1,POINT (37.14149633900007 36.23929251000004)
1,POINT (37.14179652800004 36.23929717500005)
1,POINT (37.14177004900006 36.23942078300007)
1,POINT (37.14163105700004 36.23957126300007)
1,POINT (37.14185683200009 36.23973456600004)
1,POINT (37.14194460700008 36.23963337500004)
1,POINT (37.14204042100005 36.23956569800004)
1,POINT (37.14226200400009 36.23965738500004)
1,POINT (37.14235199700005 36.23971125300005)
1,POINT (37.14251144700006 36.23994030400007)
1,POINT (37.14242711400004 36.23989606400005)
1,POINT (37.14208985700009 36.23996476100007)
1,POINT (37.14188186000007 36.23992098400004)
1,POINT (37.14184422100004 36.23989416500007)
1,POINT (37.14193098800007 36.23995990800006)
0,POINT (37.14145840600008 36.24002411500004)
0,POINT (37.14153067700005 36.23995607300009)
0,POINT (37.14242260000009 36.24008679400004)
0,POINT (37.14263986900005 36.23998761400009)
1,POINT (37.14193426200006 36.23982162900006)
1,POINT (37.14201361100004 36.23982763100008)
1,POINT (37.14206772300008 36.23990479200006)
1,POINT (37.14199455000005 36.24001098000008)
1,POINT (37.14209346000007 36.23968815700005)
1,POINT (37.14111982900005 36.23977558300004)
1,POINT (37.14124179900006 36.23984664400007)
1,POINT (37.14128475900009 36.23989739600006)
1,POINT (37.14133117100005 36.23992673800007)
1,POINT (37.14104681100008 36.23962657800007)
1,POINT (37.14171011600007 36.23946516700005)
1,POINT (37.14179139200007 36.23951412900004)
1,POINT (37.14247884100007 36.23907881400004)
1,POINT (37.14289434400007 36.23943586100006)
1,POINT (37.14313482600005 36.23947537000004)
1,POINT (37.14315109400007 36.23978328700008)
1,POINT (37.14326530900007 36.23980891000008)
1,POINT (37.14257121200006 36.23915656800006)
1,POINT (37.14254088800004 36.23931827700005)
1,POINT (37.14236094700004 36.23983064200007)
1,POINT (37.14230285000008 36.23942429000004)
1,POINT (37.14227154900004 36.23937848900005)
1,POINT (37.14242438800005 36.23976246200004)
1,POINT (37.14231273900003 36.24000161300006)
1,POINT (37.14219583800008 36.23959196300007)
1,POINT (37.14211184400006 36.23953341800006)
1,POINT (37.14196831200007 36.23950256800003)
1,POINT (37.14192811800007 36.23933499400005)
1,POINT (37.14184846300009 36.23896885200008)
1,POINT (37.14176707400009 36.23892465700004)
1,POINT (37.14168319500004 36.23886134400004)
1,POINT (37.14161912600008 36.23883172900008)
1,POINT (37.14156920700009 36.23882618300007)
1,POINT (37.14153768100005 36.23878991800007)
1,POINT (37.14122028100007 36.23963643000008)
1,POINT (37.14104183500007 36.23971236100004)
1,POINT (37.14051831300009 36.23968991300006)
0,POINT (37.14064662600003 36.23986601200005)
1,POINT (37.14125752400008 36.23967993800005)
0,POINT (37.14132889800004 36.23977406200004)
0,POINT (37.14142149500009 36.23984228100005)
1,POINT (37.14164976100005 36.24002470300007)
0,POINT (37.14180382400008 36.24010818700009)
1,POINT (37.14125281600008 36.23950576000004)
1,POINT (37.14105645300009 36.23897085400006)
1,POINT (37.14115142700007 36.23906296000007)
1,POINT (37.14128194300008 36.23914607900008)
1,POINT (37.14122184100006 36.23919761400003)
1,POINT (37.14139224600007 36.23908816800008)
1,POINT (37.14131526900007 36.23898203200008)
1,POINT (37.14134248300007 36.23882743000007)
1,POINT (37.14141198600004 36.23887621000006)
1,POINT (37.14145822700004 36.23891270300004)
1,POINT (37.14037638000008 36.23872178200008)
1,POINT (37.14043116700009 36.23877033400004)
1,POINT (37.14054102500006 36.23885551700005)
1,POINT (37.14058437900007 36.23888958100008)
1,POINT (37.14065071300007 36.23894785200008)
1,POINT (37.14071121700005 36.23900364800005)
1,POINT (37.14076894800007 36.23905224500004)
1,POINT (37.14023816600007 36.23859084300005)
1,POINT (37.13797538800009 36.23779482300006)
1,POINT (37.13784102900007 36.23774980100006)
1,POINT (37.13778777500005 36.23788491700009)
1,POINT (37.13766852700007 36.23782343500005)
1,POINT (37.13762726800007 36.23770115800005)
1,POINT (37.13746280300006 36.23780830600003)
0,POINT (37.13772925300009 36.23774567600009)
0,POINT (37.13754769600007 36.23782870800005)
0,POINT (37.13752432100006 36.23769717000005)
1,POINT (37.13715747200007 36.23814460600005)
1,POINT (37.13696946100004 36.23800334700007)
1,POINT (37.13703482900007 36.23797813100003)
1,POINT (37.13710664900009 36.23805318400008)
1,POINT (37.13704507300008 36.23816670500008)
1,POINT (37.13690109400005 36.23803090200005)
1,POINT (37.13683855500005 36.23806093300004)
1,POINT (37.13677267800006 36.23810760700007)
1,POINT (37.13671319600007 36.23813291500005)
0,POINT (37.13663130200007 36.23835821400007)
0,POINT (37.13647300400004 36.23820549300007)
0,POINT (37.13618164900004 36.23820095300005)
1,POINT (37.13638194200007 36.23807289900009)
1,POINT (37.13654539000004 36.23800866600004)
1,POINT (37.13631595200007 36.23800032100007)
1,POINT (37.13675643500005 36.23779968900004)
1,POINT (37.13671240400004 36.23791825300009)
1,POINT (37.13685123200008 36.23740287200008)
1,POINT (37.13673464600004 36.23735335600009)
1,POINT (37.13664318800005 36.23736147100004)
1,POINT (37.13674794600007 36.23753720700006)
1,POINT (37.13631052000005 36.23785713600006)
1,POINT (37.13694444500004 36.23781692800009)
1,POINT (37.13712928700005 36.23796767700009)
1,POINT (37.13721452000004 36.23809779400005)
1,POINT (37.13777605300004 36.23738627000006)
1,POINT (37.13769676300006 36.23737788000005)
1,POINT (37.13786105900004 36.23740190300003)
0,POINT (37.13954374900004 36.23745671000006)
1,POINT (37.13846521700009 36.23762357300006)
1,POINT (37.13823617600008 36.23759854300005)
1,POINT (37.13845559400005 36.23753279300007)
1,POINT (37.13833900700007 36.23748327900006)
1,POINT (37.13821268600009 36.23747177200005)
1,POINT (37.13799768100006 36.23747558000008)
1,POINT (37.13810883500008 36.23750593100004)
1,POINT (37.13815212600008 36.23729434000006)
1,POINT (37.13769721400007 36.23723478800008)
1,POINT (37.13755063300005 36.23720865500007)
1,POINT (37.13757445800007 36.23707308100006)
1,POINT (37.13782375900007 36.23711273800006)
1,POINT (37.13824578900005 36.23719324300004)
1,POINT (37.13830934100008 36.23699627800005)
1,POINT (37.13846180800005 36.23702250100007)
1,POINT (37.13816468500005 36.23701310600006)
1,POINT (37.13789495300006 36.23696597700007)
1,POINT (37.13781311600007 36.23694085300008)
1,POINT (37.13776421600005 36.23676837200009)
1,POINT (37.13798890100009 36.23697698000007)
1,POINT (37.13784933500006 36.23677923700006)
1,POINT (37.13846265400008 36.23686271900004)
1,POINT (37.13861812000005 36.23688660400006)
1,POINT (37.13830311300006 36.23688647100005)
0,POINT (37.13840454100006 36.23732688900009)
0,POINT (37.13850137500009 36.23734032100003)
0,POINT (37.13858677700006 36.23733926500006)
0,POINT (37.13867478300006 36.23735256000003)
0,POINT (37.13898073000007 36.23711405100005)
0,POINT (37.13726697900006 36.23725193800004)
0,POINT (37.13753495700007 36.23737297600007)
0,POINT (37.13649858700006 36.23749993300004)
0,POINT (37.13653514700007 36.23769607200006)
0,POINT (37.13687602000005 36.23710274800004)
1,POINT (37.13662688800008 36.23817211500005)
1,POINT (37.13568071900005 36.23834340000008)
1,POINT (37.13556515200008 36.23825096900003)
1,POINT (37.13554648000007 36.23792154800009)
0,POINT (37.13566669000005 36.23781848200008)
0,POINT (37.13577269500007 36.23769373000005)
1,POINT (37.13539277500007 36.23745169300008)
1,POINT (37.13509938600004 36.23740895900005)
1,POINT (37.13473229900006 36.23786592300007)
1,POINT (37.13589415100006 36.23741419400005)
0,POINT (37.13612171700004 36.23787327400004)
1,POINT (37.13635381500006 36.23776956600005)
0,POINT (37.13530792800009 36.23804900400006)
0,POINT (37.13514226900008 36.23820621600004)
0,POINT (37.13524833000008 36.23820309900009)
0,POINT (37.13495833200005 36.23826535700005)
0,POINT (37.13487547200009 36.23840716500007)
1,POINT (37.13473845500005 36.23835017300007)
1,POINT (37.13502535400005 36.23767492400009)
1,POINT (37.13506547900005 36.23772086400004)
1,POINT (37.13512693900009 36.23786015200005)
1,POINT (37.13550375300008 36.23773723800008)
1,POINT (37.13580002700007 36.23803044000005)
0,POINT (37.13579510000005 36.23823785800005)
1,POINT (37.13587586600005 36.23793622200009)
1,POINT (37.13614254000004 36.23836013800008)
0,POINT (37.13489348200005 36.23789705700005)
0,POINT (37.13498449000008 36.23778399600008)
0,POINT (37.13489258100009 36.23768716300009)
0,POINT (37.13530046300008 36.23774360800007)
0,POINT (37.13538931600004 36.23784516300009)
0,POINT (37.13540838900008 36.23778583600006)
0,POINT (37.13561909000003 36.23808724500009)
0,POINT (37.13549904900009 36.23818315800008)
0,POINT (37.13561416300007 36.23829466200004)
0,POINT (37.13598673900009 36.23760643600008)
0,POINT (37.13575866100007 36.23754087100008)
0,POINT (37.13556691500008 36.23768098200009)
1,POINT (37.13638893600006 36.23489743800008)
1,POINT (37.13647275900007 36.23491113900008)
1,POINT (37.13656434000006 36.23492031300009)
1,POINT (37.13645147300008 36.23476052000007)
1,POINT (37.13656025900008 36.23476996100004)
0,POINT (37.13665864000006 36.23433147600008)
0,POINT (37.13676919100004 36.23434714300004)
0,POINT (37.13668908200009 36.23474098100007)
0,POINT (37.13666970700007 36.23491265800004)
0,POINT (37.13615180600004 36.23457457500007)
0,POINT (37.13681095700008 36.23492415500004)
0,POINT (37.13654062700004 36.23503304700006)
0,POINT (37.13635382600006 36.23500689600007)
0,POINT (37.13628529600004 36.23499343300006)
0,POINT (37.13605912000008 36.23501469800004)
0,POINT (37.13608290800005 36.23489886700008)
1,POINT (37.13620956200003 36.23488069900009)
0,POINT (37.13619371600004 36.23498425900004)
0,POINT (37.13677448700008 36.23509091700004)
0,POINT (37.13635463500009 36.23473112200008)
1,POINT (37.13613643800005 36.23465800100007)
0,POINT (37.13626588600005 36.23460269200007)
0,POINT (37.13649338500005 36.23460623700004)
1,POINT (37.13661717000008 36.23462830700004)
1,POINT (37.13663103100004 36.23444724800004)
1,POINT (37.13674536800005 36.23446452300004)
1,POINT (37.13690463100005 36.23452278100007)
0,POINT (37.13691937300007 36.23438511700004)
1,POINT (37.13575063100006 36.23479762800008)
1,POINT (37.13566493300004 36.23478234800007)
1,POINT (37.13537938600007 36.23456563500008)
1,POINT (37.13528494100007 36.23443556600006)
1,POINT (37.13821715700004 36.23561556800007)
1,POINT (37.13825603200007 36.23539150600004)
1,POINT (37.13834174200008 36.23557600800007)
1,POINT (37.13843508800005 36.23558747800007)
1,POINT (37.13818191300004 36.23576098100006)
0,POINT (37.13807919500005 36.23577226100008)
0,POINT (37.13825349400008 36.23579643900007)
1,POINT (37.13839417600008 36.23582295600005)
1,POINT (37.13814238100008 36.23541692600008)
1,POINT (37.13847488200008 36.23547361700008)
1,POINT (37.13482662600006 36.23684686100006)
1,POINT (37.13495690500008 36.23693952300005)
0,POINT (37.13534305100006 36.23691930900009)
0,POINT (37.13561085600008 36.23704750300004)
0,POINT (37.13519398800008 36.23650199500008)
0,POINT (37.13639809200004 36.23662570300007)
1,POINT (37.13517250100006 36.23554766200004)
1,POINT (37.13515586000005 36.23562849300004)
1,POINT (37.13512784500006 36.23569245100003)
1,POINT (37.13532462200004 36.23571221400005)
0,POINT (37.13554726700005 36.23538655500005)
0,POINT (37.13570901100007 36.23539384600008)
0,POINT (37.13570091600008 36.23561075500004)
0,POINT (37.13592502500006 36.23584320700007)
0,POINT (37.13479031200006 36.23602108700004)
1,POINT (37.13475748400003 36.23616367400007)
1,POINT (37.13502030800004 36.23612961300006)
1,POINT (37.13489230400006 36.23556952800004)
1,POINT (37.13597312300004 36.23666916500008)
0,POINT (37.13489357900005 36.23675489100009)
1,POINT (37.13495772500005 36.23566594800008)
0,POINT (37.13498982100003 36.23530631400007)
0,POINT (37.13564075000005 36.23616075100006)
0,POINT (37.13576859100004 36.23660396800005)
0,POINT (37.13554951400005 36.23653138800006)
0,POINT (37.13554713600007 36.23663152100005)
1,POINT (37.13528941800007 36.23583091500007)
0,POINT (37.13523617200008 36.23534593000005)
1,POINT (37.13489694700007 36.23549805100004)
0,POINT (37.13586486300005 36.23614516400005)
1,POINT (37.13545455200006 36.23631525800005)
1,POINT (37.13641065700006 36.23634446900007)
0,POINT (37.13621348200007 36.23634139700005)
1,POINT (37.13617143100004 36.23662455600004)
1,POINT (37.13616232300006 36.23601624000008)
0,POINT (37.13621291900006 36.23574513900007)
0,POINT (37.13619577100008 36.23584742700007)
0,POINT (37.13624466900006 36.23564784900009)
0,POINT (37.13625808200004 36.23557889300008)
0,POINT (37.13722437100006 36.23641915500008)
1,POINT (37.13723223900007 36.23658384200007)
1,POINT (37.13718888900007 36.23679781700008)
1,POINT (37.13713099400007 36.23700441000005)
1,POINT (37.13732799900004 36.23676659400007)
1,POINT (37.13730309900006 36.23707148500006)
1,POINT (37.13731311600009 36.23702155600006)
1,POINT (37.13716942100007 36.23687383400005)
0,POINT (37.13794981000007 36.23711256000007)
1,POINT (37.13779428900006 36.23721507900007)
1,POINT (37.13794867300004 36.23678818300004)
1,POINT (37.13802162400009 36.23681555400009)
1,POINT (37.13810396900004 36.23681922100008)
1,POINT (37.13808534400005 36.23648741600005)
1,POINT (37.13899390600005 36.23628690700008)
1,POINT (37.13918208300004 36.23629699000008)
0,POINT (37.13925174400003 36.23609057900006)
0,POINT (37.13920501600006 36.23669564100004)
0,POINT (37.13908226100006 36.23665795600004)
0,POINT (37.13887823500005 36.23657130700008)
0,POINT (37.13872576900008 36.23654508400006)
0,POINT (37.13875809400008 36.23692003200006)
0,POINT (37.13848788400009 36.23577579800008)
0,POINT (37.13965834000004 36.23669792300007)
0,POINT (37.13938419600004 36.23671273900004)
0,POINT (37.13946931500004 36.23672360300009)
0,POINT (37.13931012200004 36.23698109100008)
0,POINT (37.13902494000007 36.23696472900008)
0,POINT (37.13910978000007 36.23711153400006)
0,POINT (37.14029988100009 36.23633584100008)
0,POINT (37.13994989500009 36.23619683800007)
1,POINT (37.14032257800005 36.23761455200008)
1,POINT (37.14027362000007 36.23756847600004)
1,POINT (37.14023337900005 36.23752730500007)
1,POINT (37.14115975500005 36.23794238600004)
1,POINT (37.14156893400008 36.23781995500008)
1,POINT (37.14170476200007 36.23780298500009)
1,POINT (37.14171535600008 36.23797725500009)
1,POINT (37.14187195500006 36.23795345300005)
1,POINT (37.14178275500007 36.23786620700008)
1,POINT (37.14184547600007 36.23807706100007)
1,POINT (37.14153601200007 36.23809133300006)
1,POINT (37.14143616900009 36.23795622100005)
1,POINT (37.14127446700007 36.23782253400009)
1,POINT (37.14142726800009 36.23771042800007)
1,POINT (37.14153202200004 36.23763812100009)
1,POINT (37.14155498600007 36.23741428800008)
1,POINT (37.14183022900005 36.23772623000008)
1,POINT (37.14202157900007 36.23772681700007)
1,POINT (37.14131509000003 36.23759897500008)
1,POINT (37.14117445600004 36.23769457500003)
1,POINT (37.14106176900009 36.23760457800006)
1,POINT (37.14052625100004 36.23734344400009)
1,POINT (37.14048023700008 36.23729741400007)
1,POINT (37.14068455600005 36.23749616000003)
1,POINT (37.14073079600007 36.23753265400006)
1,POINT (37.14061539300008 36.23743307500007)
1,POINT (37.14047368500007 36.23757397100007)
1,POINT (37.14040474900008 36.23750135000006)
1,POINT (37.14036745100009 36.23746022500006)
1,POINT (37.14024684000009 36.23733194500005)
1,POINT (37.13956618500004 36.23772919300006)
1,POINT (37.14056725100005 36.23784970100007)
1,POINT (37.14051990100006 36.23711438600009)
1,POINT (37.14047677400004 36.23707078500007)
1,POINT (37.14041044200007 36.23701251400007)
1,POINT (37.14073105300008 36.23702465300005)
1,POINT (37.14080010200007 36.23709250700006)
1,POINT (37.14064362400006 36.23723555900006)
0,POINT (37.14097090600006 36.23709039200008)
0,POINT (37.14084152300006 36.23695959100007)
0,POINT (37.14072051700003 36.23684800000007)
1,POINT (37.14076374500007 36.23663879200006)
1,POINT (37.14085277300006 36.23673319100004)
1,POINT (37.14086037500005 36.23815238200007)
1,POINT (37.14091413900007 36.23811982800004)
1,POINT (37.14112272400007 36.23785595000004)
1,POINT (37.14103314400006 36.23781878300008)
1,POINT (37.14077095000005 36.23807467200004)
0,POINT (37.14091158500008 36.23797907300008)
1,POINT (37.14084049500008 36.23787302900007)
0,POINT (37.14129906200009 36.23740554100004)
